2237|||2|LAKELAND SQUARE|SHI|2|2776|||0|99|SH-STR CLOSINGS|1|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL||114|CLOSED REGION|2776|H|K|SHI|NULL|M|N|N|NA|USD|0|0|0|0|0|5|0|0|0|NULL|NULL|NULL|WS|NULL|NULL|NULL|NULL|NULL|269|20816|3108|2012-02-25|NULL|NULL
2309|||2|DARTHMOUTH|SHI|2|2496|2096-06-09|2098-08-02|900|99|SH-STR CLOSINGS|2|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL||114|CLOSED REGION|2496|N|S|SHI|LS|E|Y|N|NA|CAD|0|0|0|0|0|5|0|0|0|NULL|NULL|NULL|N|NULL|NULL|NULL|NULL|CL|269|20816|3108|2012-02-25|NULL|NULL
3493|||2|LAKESIDE MARKETPLACE OUTLET|SHI|2|1561|||0|99|SH-STR CLOSINGS|1|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL||114|CLOSED REGION|1561|H|I|SHI|NULL|O|NULL|O|NA|USD|0|0|0|0|0|5|0|0|0|NULL|NULL|NULL|O|NULL|NULL|NULL|NULL|NULL|269|20816|3108|2012-02-25|NULL|NULL
3557|||2|ONTARIO INT'L AIRPORT T4|SHI|2|3442|2098-09-27|2005-02-25|803|99|SH-STR CLOSINGS|1|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL||114|CLOSED REGION|3442|H|I|SHI|NULL|T|N|S|NA|USD|0|4|0|0|0|6|0|0|0|NULL|NULL|NULL|SD-2|NULL|NULL|NULL|Z|CL|269|20816|3108|2012-02-25|NULL|NULL
6277|||2|GRAND CENTRAL MALL|SHI|2|1287|2095-06-30|2002-12-28|597|99|SH-STR CLOSINGS|1|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL||114|CLOSED REGION|1287|H|K|SHI|NULL|M|NULL|N|NA|USD|0|0|0|0|0|5|0|0|0|NULL|NULL|NULL|KB|NULL|NULL|NULL|NULL|NULL|269|20816|3108|2012-02-25|NULL|NULL
6293|||2|NANUET MALL II|SHI|2|4202|2094-11-18|2001-09-27|501|99|SH-STR CLOSINGS|1|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL||114|CLOSED REGION|202|H|I|SHI|NULL|M|NULL|N|NA|USD|0|0|0|0|0|5|0|0|0|NULL|NULL|NULL|SDA|NULL|NULL|NULL|NULL|CL|269|20816|3108|2012-02-25|NULL|NULL
1493|||2|WOODBINE CENTER|SHI|2|3944|2094-10-15|2007-03-30|927|99|SH-STR CLOSINGS|2|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL||114|CLOSED REGION|944|H|K|SHI|NULL|M|NULL|N|F|CAD|0|4|0|0|0|5|0|0|0|NULL|NULL|NULL|KN|NULL|NULL|NULL|Z|CAH|269|20816|3108|2012-02-25|NULL|NULL
1637|||2|VAUGHAN MILLS|SHI|2|3276|||0|99|SH-STR CLOSINGS|2|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL||114|CLOSED REGION|3276|H|I|SHI|NULL|M|N|N|NA|CAD|0|0|0|0|0|5|0|0|0|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|269|20816|3108|2012-02-25|NULL|NULL
1701|||2|BALLSTON COMMONS|SHI|2|4190|2086-10-22|2007-01-30|511|99|SH-STR CLOSINGS|1|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL||114|CLOSED REGION|190|H|I|SHI|NULL|M|NULL|B|F|USD|0|4|2|2|0|5|2|2|0|5|B|NULL|S|NULL|NULL|NULL|C|TST|269|20816|3108|2012-02-25|NULL|NULL
1789|||2|LAKESIDE CIRCLE|SHI|2|2274|2094-12-07|2000-01-16|505|99|SH-STR CLOSINGS|1|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL||114|CLOSED REGION|2274|N|I|SHI|NULL|M|Y|N|NA|USD|0|0|0|0|0|5|0|0|0|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|CL|269|20816|3108|2012-02-25|NULL|NULL
