1528|1|13|9|2007-06-16 17:57:37.480457
792|1|9|40|2007-06-16 17:57:37.480457
19928|1|14|27|2012-03-29 21:46:45.705421
15512|1|8|10|2011-11-04 21:44:26.861331
20296|1|2|18|2012-03-29 21:46:47.743912
728|1|8|29|2007-06-16 17:57:37.480457
360|1|14|36|2007-06-16 17:57:37.480457
1832|1|2|18|2007-06-16 17:57:37.480457
14344|4|20|13|2007-09-13 18:01:07.850628
14712|1|7|5110|2009-01-14 22:00:57.696075
15080|1|6|5113|2011-01-25 21:45:57.873433
20232|1|12|1|2012-03-29 21:46:47.485745
19864|1|3|48|2012-03-29 21:46:45.449642
19768|1|1|11|2012-03-29 21:46:45.110293
264|4|18|22|2007-06-16 17:57:37.480457
2104|1|7|5110|2007-06-16 17:57:37.480457
14616|4|18|22|2008-06-20 22:00:58.932268
20504|4|18|22|2012-07-17 21:46:43.745867
14576|1|14|27|2008-06-05 22:00:52.847902
2064|1|17|5111|2007-06-16 17:57:37.480457
592|1|16|19|2007-06-16 17:57:37.480457
-1|-3|-3|-3|2007-06-16 17:57:37.480457
14944|4|20|13|2010-06-22 21:45:54.791415
20464|1|87|5112|2012-03-29 21:46:48.337261
19728|1|12|2|2012-03-29 21:46:44.894156
20096|1|3|48|2012-03-29 21:46:46.767384
152|1|13|20|2007-06-16 17:57:37.480457
14872|1|1|11|2010-01-07 21:46:07.78672
14504|1|1|5|2008-03-25 18:00:46.844904
1992|4|18|42|2007-06-16 17:57:37.480457
20024|1|1|7|2012-03-29 21:46:46.386949
2360|1|14|36|2007-06-16 17:57:37.480457
888|1|12|2|2007-06-16 17:57:37.480457
1256|1|14|28|2007-06-16 17:57:37.480457
15608|1|11|30|2011-12-27 21:44:17.671758
20392|1|12|1|2012-03-29 21:46:48.064839
608|1|12|1|2007-06-16 17:57:37.480457
2080|1|12|1|2007-06-16 17:57:37.480457
2448|1|12|2|2007-06-16 17:57:37.480457
14592|1|12|1|2008-06-05 22:00:52.847902
14960|1|9|5105|2010-07-14 21:45:54.346534
19744|1|1|7|2012-03-29 21:46:45.004189
20112|4|18|22|2012-03-29 21:46:46.916983
20480|1|9|5105|2012-04-19 21:46:46.417378
14552|1|14|27|2008-06-05 22:00:52.847902
200|1|14|28|2007-06-16 17:57:37.480457
936|4|20|14|2007-06-16 17:57:37.480457
20072|4|18|42|2012-03-29 21:46:46.67982
2040|1|16|19|2007-06-16 17:57:37.480457
2408|4|18|22|2007-06-16 17:57:37.480457
19704|4|20|14|2012-03-29 21:46:44.749923
14920|4|20|13|2010-06-01 21:46:02.483244
15656|1|7|5110|2012-03-08 21:46:42.499557
20440|4|20|14|2012-03-29 21:46:48.240267
16|1|12|2|2007-06-16 17:57:37.480457
384|1|9|39|2007-06-16 17:57:37.480457
1856|1|7|50|2007-06-16 17:57:37.480457
14368|1|13|9|2007-10-11 18:00:42.841689
14736|1|6|5113|2009-03-03 22:00:58.343804
15472|1|11|31|2011-05-17 21:44:43.488943
19888|1|11|31|2012-03-29 21:46:45.541108
20256|1|12|1|2012-03-29 21:46:47.562449
20624|1|11|30|2012-10-17 21:46:50.523651
1584|4|18|42|2007-06-16 17:57:37.480457
480|1|1|11|2007-06-16 17:57:37.480457
1216|1|11|33|2007-06-16 17:57:37.480457
848|1|12|3|2007-06-16 17:57:37.480457
14832|1|9|5105|2009-12-16 21:46:03.565299
2320|1|14|25|2007-06-16 17:57:37.480457
15568|1|13|5104|2011-12-27 21:44:17.465766
19984|1|1|8|2012-03-29 21:46:46.080821
20352|1|10|37|2012-03-29 21:46:47.926582
528|4|18|34|2007-06-16 17:57:37.480457
160|1|1|5|2007-06-16 17:57:37.480457
14512|1|12|2|2008-04-10 18:00:52.380506
896|1|12|3|2007-06-16 17:57:37.480457
19664|1|12|3|2012-03-29 21:46:44.169231
15616|1|10|37|2012-01-03 21:44:11.258612
1264|1|14|27|2007-06-16 17:57:37.480457
2000|4|18|22|2007-06-16 17:57:37.480457
